top1,rr@5,recall@5,precision@5,first_gold_rank,corpus,method,rid,n_gold
1.0,1.0,0.5,0.6,1,hipaa_benchmark,tfidf,20,6
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,bm25,20,6
1.0,1.0,0.5,0.6,1,hipaa_benchmark,lsi,20,6
0.0,0.5,0.3333333333333333,0.4,2,hipaa_benchmark,semantic,20,6
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,reranker,20,6
1.0,1.0,0.5,0.6,1,hipaa_benchmark,rrf_lexical,20,6
1.0,1.0,1.0,0.4,1,hipaa_benchmark,tfidf,21,2
1.0,1.0,0.5,0.2,1,hipaa_benchmark,bm25,21,2
0.0,0.5,1.0,0.4,2,hipaa_benchmark,lsi,21,2
0.0,0.5,1.0,0.4,2,hipaa_benchmark,semantic,21,2
1.0,1.0,1.0,0.4,1,hipaa_benchmark,reranker,21,2
1.0,1.0,1.0,0.4,1,hipaa_benchmark,rrf_lexical,21,2
0.0,0.3333333333333333,0.5,0.2,3,hipaa_benchmark,tfidf,22,2
0.0,0.0,0.0,0.0,9,hipaa_benchmark,bm25,22,2
0.0,0.0,0.0,0.0,10,hipaa_benchmark,lsi,22,2
0.0,0.3333333333333333,0.5,0.2,3,hipaa_benchmark,semantic,22,2
0.0,0.0,0.0,0.0,14,hipaa_benchmark,reranker,22,2
0.0,0.0,0.0,0.0,6,hipaa_benchmark,rrf_lexical,22,2
0.0,0.0,0.0,0.0,7,hipaa_benchmark,tfidf,23,2
0.0,0.0,0.0,0.0,12,hipaa_benchmark,bm25,23,2
0.0,0.0,0.0,0.0,6,hipaa_benchmark,lsi,23,2
1.0,1.0,0.5,0.2,1,hipaa_benchmark,semantic,23,2
0.0,0.5,1.0,0.4,2,hipaa_benchmark,reranker,23,2
0.0,0.0,0.0,0.0,6,hipaa_benchmark,rrf_lexical,23,2
1.0,1.0,0.16666666666666666,0.2,1,hipaa_benchmark,tfidf,24,6
1.0,1.0,0.16666666666666666,0.2,1,hipaa_benchmark,bm25,24,6
1.0,1.0,0.16666666666666666,0.2,1,hipaa_benchmark,lsi,24,6
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,semantic,24,6
0.0,0.3333333333333333,0.3333333333333333,0.4,3,hipaa_benchmark,reranker,24,6
1.0,1.0,0.16666666666666666,0.2,1,hipaa_benchmark,rrf_lexical,24,6
0.0,0.0,0.0,0.0,16,hipaa_benchmark,tfidf,25,2
0.0,0.0,0.0,0.0,14,hipaa_benchmark,bm25,25,2
0.0,0.0,0.0,0.0,42,hipaa_benchmark,lsi,25,2
0.0,0.0,0.0,0.0,7,hipaa_benchmark,semantic,25,2
0.0,0.0,0.0,0.0,17,hipaa_benchmark,reranker,25,2
0.0,0.0,0.0,0.0,17,hipaa_benchmark,rrf_lexical,25,2
0.0,0.5,0.3333333333333333,0.2,2,hipaa_benchmark,tfidf,26,3
0.0,0.3333333333333333,0.6666666666666666,0.4,3,hipaa_benchmark,bm25,26,3
0.0,0.25,0.3333333333333333,0.2,4,hipaa_benchmark,lsi,26,3
1.0,1.0,0.6666666666666666,0.4,1,hipaa_benchmark,semantic,26,3
1.0,1.0,0.3333333333333333,0.2,1,hipaa_benchmark,reranker,26,3
0.0,0.5,0.3333333333333333,0.2,2,hipaa_benchmark,rrf_lexical,26,3
0.0,0.0,0.0,0.0,77,hipaa_benchmark,tfidf,27,5
0.0,0.0,0.0,0.0,6,hipaa_benchmark,bm25,27,5
0.0,0.0,0.0,0.0,60,hipaa_benchmark,lsi,27,5
0.0,0.0,0.0,0.0,6,hipaa_benchmark,semantic,27,5
0.0,0.3333333333333333,0.2,0.2,3,hipaa_benchmark,reranker,27,5
0.0,0.0,0.0,0.0,34,hipaa_benchmark,rrf_lexical,27,5
0.0,0.0,0.0,0.0,90,hipaa_benchmark,tfidf,28,3
0.0,0.0,0.0,0.0,182,hipaa_benchmark,bm25,28,3
0.0,0.0,0.0,0.0,66,hipaa_benchmark,lsi,28,3
0.0,0.0,0.0,0.0,7,hipaa_benchmark,semantic,28,3
0.0,0.0,0.0,0.0,18,hipaa_benchmark,reranker,28,3
0.0,0.0,0.0,0.0,103,hipaa_benchmark,rrf_lexical,28,3
1.0,1.0,0.3333333333333333,0.2,1,hipaa_benchmark,tfidf,29,3
1.0,1.0,0.3333333333333333,0.2,1,hipaa_benchmark,bm25,29,3
1.0,1.0,0.3333333333333333,0.2,1,hipaa_benchmark,lsi,29,3
1.0,1.0,0.3333333333333333,0.2,1,hipaa_benchmark,semantic,29,3
1.0,1.0,0.6666666666666666,0.4,1,hipaa_benchmark,reranker,29,3
1.0,1.0,0.3333333333333333,0.2,1,hipaa_benchmark,rrf_lexical,29,3
1.0,1.0,0.4,0.4,1,hipaa_benchmark,tfidf,30,5
1.0,1.0,0.6,0.6,1,hipaa_benchmark,bm25,30,5
1.0,1.0,0.4,0.4,1,hipaa_benchmark,lsi,30,5
1.0,1.0,0.4,0.4,1,hipaa_benchmark,semantic,30,5
1.0,1.0,0.6,0.6,1,hipaa_benchmark,reranker,30,5
1.0,1.0,0.6,0.6,1,hipaa_benchmark,rrf_lexical,30,5
0.0,0.0,0.0,0.0,9,hipaa_benchmark,tfidf,31,2
0.0,0.0,0.0,0.0,17,hipaa_benchmark,bm25,31,2
0.0,0.0,0.0,0.0,8,hipaa_benchmark,lsi,31,2
0.0,0.0,0.0,0.0,11,hipaa_benchmark,semantic,31,2
0.0,0.0,0.0,0.0,10,hipaa_benchmark,reranker,31,2
0.0,0.0,0.0,0.0,8,hipaa_benchmark,rrf_lexical,31,2
0.0,0.2,0.2,0.2,5,hipaa_benchmark,tfidf,32,5
0.0,0.2,0.2,0.2,5,hipaa_benchmark,bm25,32,5
0.0,0.0,0.0,0.0,7,hipaa_benchmark,lsi,32,5
0.0,0.2,0.2,0.2,5,hipaa_benchmark,semantic,32,5
0.0,0.3333333333333333,0.2,0.2,3,hipaa_benchmark,reranker,32,5
0.0,0.0,0.0,0.0,6,hipaa_benchmark,rrf_lexical,32,5
0.0,0.5,0.16666666666666666,0.2,2,hipaa_benchmark,tfidf,33,6
0.0,0.5,0.16666666666666666,0.2,2,hipaa_benchmark,bm25,33,6
0.0,0.25,0.16666666666666666,0.2,4,hipaa_benchmark,lsi,33,6
1.0,1.0,0.16666666666666666,0.2,1,hipaa_benchmark,semantic,33,6
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,reranker,33,6
0.0,0.5,0.16666666666666666,0.2,2,hipaa_benchmark,rrf_lexical,33,6
0.0,0.5,0.6666666666666666,0.4,2,hipaa_benchmark,tfidf,34,3
0.0,0.3333333333333333,0.6666666666666666,0.4,3,hipaa_benchmark,bm25,34,3
0.0,0.5,0.3333333333333333,0.2,2,hipaa_benchmark,lsi,34,3
1.0,1.0,1.0,0.6,1,hipaa_benchmark,semantic,34,3
1.0,1.0,0.6666666666666666,0.4,1,hipaa_benchmark,reranker,34,3
0.0,0.5,0.6666666666666666,0.4,2,hipaa_benchmark,rrf_lexical,34,3
0.0,0.2,0.09090909090909091,0.2,5,hipaa_benchmark,tfidf,35,11
0.0,0.0,0.0,0.0,10,hipaa_benchmark,bm25,35,11
0.0,0.5,0.09090909090909091,0.2,2,hipaa_benchmark,lsi,35,11
0.0,0.0,0.0,0.0,9,hipaa_benchmark,semantic,35,11
0.0,0.0,0.0,0.0,15,hipaa_benchmark,reranker,35,11
0.0,0.3333333333333333,0.09090909090909091,0.2,3,hipaa_benchmark,rrf_lexical,35,11
1.0,1.0,0.25,0.4,1,hipaa_benchmark,tfidf,36,8
0.0,0.5,0.25,0.4,2,hipaa_benchmark,bm25,36,8
1.0,1.0,0.25,0.4,1,hipaa_benchmark,lsi,36,8
0.0,0.3333333333333333,0.125,0.2,3,hipaa_benchmark,semantic,36,8
1.0,1.0,0.25,0.4,1,hipaa_benchmark,reranker,36,8
1.0,1.0,0.375,0.6,1,hipaa_benchmark,rrf_lexical,36,8
1.0,1.0,0.4444444444444444,0.8,1,hipaa_benchmark,tfidf,37,9
0.0,0.5,0.3333333333333333,0.6,2,hipaa_benchmark,bm25,37,9
1.0,1.0,0.3333333333333333,0.6,1,hipaa_benchmark,lsi,37,9
1.0,1.0,0.2222222222222222,0.4,1,hipaa_benchmark,semantic,37,9
1.0,1.0,0.2222222222222222,0.4,1,hipaa_benchmark,reranker,37,9
1.0,1.0,0.3333333333333333,0.6,1,hipaa_benchmark,rrf_lexical,37,9
0.0,0.0,0.0,0.0,9,hipaa_benchmark,tfidf,38,1
0.0,0.25,1.0,0.2,4,hipaa_benchmark,bm25,38,1
0.0,0.0,0.0,0.0,7,hipaa_benchmark,lsi,38,1
0.0,0.0,0.0,0.0,10,hipaa_benchmark,semantic,38,1
0.0,0.3333333333333333,1.0,0.2,3,hipaa_benchmark,reranker,38,1
0.0,0.0,0.0,0.0,6,hipaa_benchmark,rrf_lexical,38,1
0.0,0.0,0.0,0.0,8,hipaa_benchmark,tfidf,39,1
1.0,1.0,1.0,0.2,1,hipaa_benchmark,bm25,39,1
0.0,0.2,1.0,0.2,5,hipaa_benchmark,lsi,39,1
0.0,0.3333333333333333,1.0,0.2,3,hipaa_benchmark,semantic,39,1
1.0,1.0,1.0,0.2,1,hipaa_benchmark,reranker,39,1
0.0,0.2,1.0,0.2,5,hipaa_benchmark,rrf_lexical,39,1
0.0,0.5,0.2,0.2,2,hipaa_benchmark,tfidf,40,5
1.0,1.0,0.2,0.2,1,hipaa_benchmark,bm25,40,5
0.0,0.5,0.2,0.2,2,hipaa_benchmark,lsi,40,5
0.0,0.0,0.0,0.0,61,hipaa_benchmark,semantic,40,5
0.0,0.0,0.0,0.0,72,hipaa_benchmark,reranker,40,5
0.0,0.5,0.2,0.2,2,hipaa_benchmark,rrf_lexical,40,5
0.0,0.0,0.0,0.0,7,hipaa_benchmark,tfidf,41,2
0.0,0.2,0.5,0.2,5,hipaa_benchmark,bm25,41,2
0.0,0.0,0.0,0.0,6,hipaa_benchmark,lsi,41,2
1.0,1.0,0.5,0.2,1,hipaa_benchmark,semantic,41,2
0.0,0.5,0.5,0.2,2,hipaa_benchmark,reranker,41,2
0.0,0.2,0.5,0.2,5,hipaa_benchmark,rrf_lexical,41,2
0.0,0.5,0.5,0.4,2,hipaa_benchmark,tfidf,42,4
0.0,0.5,0.25,0.2,2,hipaa_benchmark,bm25,42,4
0.0,0.5,0.25,0.2,2,hipaa_benchmark,lsi,42,4
1.0,1.0,0.5,0.4,1,hipaa_benchmark,semantic,42,4
1.0,1.0,0.5,0.4,1,hipaa_benchmark,reranker,42,4
0.0,0.5,0.5,0.4,2,hipaa_benchmark,rrf_lexical,42,4
0.0,0.5,0.16666666666666666,0.2,2,hipaa_benchmark,tfidf,43,6
0.0,0.5,0.16666666666666666,0.2,2,hipaa_benchmark,bm25,43,6
0.0,0.0,0.0,0.0,6,hipaa_benchmark,lsi,43,6
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,semantic,43,6
1.0,1.0,0.5,0.6,1,hipaa_benchmark,reranker,43,6
0.0,0.5,0.16666666666666666,0.2,2,hipaa_benchmark,rrf_lexical,43,6
0.0,0.0,0.0,0.0,8,hipaa_benchmark,tfidf,44,3
0.0,0.0,0.0,0.0,8,hipaa_benchmark,bm25,44,3
0.0,0.0,0.0,0.0,9,hipaa_benchmark,lsi,44,3
0.0,0.0,0.0,0.0,29,hipaa_benchmark,semantic,44,3
0.0,0.0,0.0,0.0,180,hipaa_benchmark,reranker,44,3
0.0,0.0,0.0,0.0,9,hipaa_benchmark,rrf_lexical,44,3
0.0,0.0,0.0,0.0,208,hipaa_benchmark,tfidf,45,1
0.0,0.0,0.0,0.0,135,hipaa_benchmark,bm25,45,1
0.0,0.0,0.0,0.0,174,hipaa_benchmark,lsi,45,1
0.0,0.0,0.0,0.0,103,hipaa_benchmark,semantic,45,1
0.0,0.0,0.0,0.0,200,hipaa_benchmark,reranker,45,1
0.0,0.0,0.0,0.0,209,hipaa_benchmark,rrf_lexical,45,1
0.0,0.0,0.0,0.0,149,hipaa_benchmark,tfidf,46,1
0.0,0.0,0.0,0.0,173,hipaa_benchmark,bm25,46,1
0.0,0.0,0.0,0.0,152,hipaa_benchmark,lsi,46,1
1.0,1.0,1.0,0.2,1,hipaa_benchmark,semantic,46,1
0.0,0.3333333333333333,1.0,0.2,3,hipaa_benchmark,reranker,46,1
0.0,0.0,0.0,0.0,190,hipaa_benchmark,rrf_lexical,46,1
1.0,1.0,0.2857142857142857,0.4,1,hipaa_benchmark,tfidf,47,7
1.0,1.0,0.5714285714285714,0.8,1,hipaa_benchmark,bm25,47,7
1.0,1.0,0.2857142857142857,0.4,1,hipaa_benchmark,lsi,47,7
1.0,1.0,0.42857142857142855,0.6,1,hipaa_benchmark,semantic,47,7
1.0,1.0,0.42857142857142855,0.6,1,hipaa_benchmark,reranker,47,7
1.0,1.0,0.2857142857142857,0.4,1,hipaa_benchmark,rrf_lexical,47,7
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,tfidf,48,6
0.0,0.5,0.3333333333333333,0.4,2,hipaa_benchmark,bm25,48,6
1.0,1.0,0.5,0.6,1,hipaa_benchmark,lsi,48,6
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,semantic,48,6
1.0,1.0,0.5,0.6,1,hipaa_benchmark,reranker,48,6
1.0,1.0,0.3333333333333333,0.4,1,hipaa_benchmark,rrf_lexical,48,6
0.0,0.0,0.0,0.0,13,hipaa_benchmark,tfidf,49,2
0.0,0.0,0.0,0.0,31,hipaa_benchmark,bm25,49,2
0.0,0.0,0.0,0.0,24,hipaa_benchmark,lsi,49,2
0.0,0.0,0.0,0.0,8,hipaa_benchmark,semantic,49,2
0.0,0.0,0.0,0.0,9,hipaa_benchmark,reranker,49,2
0.0,0.0,0.0,0.0,15,hipaa_benchmark,rrf_lexical,49,2
0.0,0.0,0.0,0.0,48,hipaa_benchmark,tfidf,50,5
0.0,0.0,0.0,0.0,51,hipaa_benchmark,bm25,50,5
0.0,0.0,0.0,0.0,23,hipaa_benchmark,lsi,50,5
0.0,0.25,0.4,0.4,4,hipaa_benchmark,semantic,50,5
0.0,0.3333333333333333,0.6,0.6,3,hipaa_benchmark,reranker,50,5
0.0,0.0,0.0,0.0,31,hipaa_benchmark,rrf_lexical,50,5
0.0,0.25,1.0,0.2,4,hipaa_benchmark,tfidf,51,1
0.0,0.2,1.0,0.2,5,hipaa_benchmark,bm25,51,1
0.0,0.2,1.0,0.2,5,hipaa_benchmark,lsi,51,1
1.0,1.0,1.0,0.2,1,hipaa_benchmark,semantic,51,1
1.0,1.0,1.0,0.2,1,hipaa_benchmark,reranker,51,1
0.0,0.25,1.0,0.2,4,hipaa_benchmark,rrf_lexical,51,1
0.0,0.5,0.5,0.2,2,hipaa_benchmark,tfidf,52,2
0.0,0.3333333333333333,0.5,0.2,3,hipaa_benchmark,bm25,52,2
0.0,0.5,0.5,0.2,2,hipaa_benchmark,lsi,52,2
1.0,1.0,1.0,0.4,1,hipaa_benchmark,semantic,52,2
0.0,0.5,0.5,0.2,2,hipaa_benchmark,reranker,52,2
0.0,0.5,0.5,0.2,2,hipaa_benchmark,rrf_lexical,52,2
0.0,0.0,0.0,0.0,23,hipaa_benchmark,tfidf,53,3
0.0,0.0,0.0,0.0,39,hipaa_benchmark,bm25,53,3
0.0,0.0,0.0,0.0,29,hipaa_benchmark,lsi,53,3
1.0,1.0,0.6666666666666666,0.4,1,hipaa_benchmark,semantic,53,3
0.0,0.3333333333333333,0.6666666666666666,0.4,3,hipaa_benchmark,reranker,53,3
0.0,0.0,0.0,0.0,26,hipaa_benchmark,rrf_lexical,53,3
1.0,1.0,0.25,0.2,1,hipaa_benchmark,tfidf,54,4
0.0,0.0,0.0,0.0,10,hipaa_benchmark,bm25,54,4
1.0,1.0,0.25,0.2,1,hipaa_benchmark,lsi,54,4
1.0,1.0,0.5,0.4,1,hipaa_benchmark,semantic,54,4
0.0,0.2,0.25,0.2,5,hipaa_benchmark,reranker,54,4
1.0,1.0,0.25,0.2,1,hipaa_benchmark,rrf_lexical,54,4
0.0,0.0,0.0,0.0,161,hipaa_benchmark,tfidf,55,5
0.0,0.0,0.0,0.0,125,hipaa_benchmark,bm25,55,5
0.0,0.0,0.0,0.0,204,hipaa_benchmark,lsi,55,5
1.0,1.0,0.4,0.4,1,hipaa_benchmark,semantic,55,5
0.0,0.3333333333333333,0.2,0.2,3,hipaa_benchmark,reranker,55,5
0.0,0.0,0.0,0.0,187,hipaa_benchmark,rrf_lexical,55,5
0.0,0.0,0.0,0.0,6,hipaa_benchmark,tfidf,56,4
0.0,0.0,0.0,0.0,67,hipaa_benchmark,bm25,56,4
0.0,0.25,0.25,0.2,4,hipaa_benchmark,lsi,56,4
0.0,0.0,0.0,0.0,31,hipaa_benchmark,semantic,56,4
0.0,0.0,0.0,0.0,31,hipaa_benchmark,reranker,56,4
0.0,0.0,0.0,0.0,9,hipaa_benchmark,rrf_lexical,56,4
0.0,0.5,0.2,0.2,2,hipaa_benchmark,tfidf,57,5
0.0,0.0,0.0,0.0,14,hipaa_benchmark,bm25,57,5
0.0,0.5,0.2,0.2,2,hipaa_benchmark,lsi,57,5
1.0,1.0,0.6,0.6,1,hipaa_benchmark,semantic,57,5
1.0,1.0,0.4,0.4,1,hipaa_benchmark,reranker,57,5
0.0,0.3333333333333333,0.2,0.2,3,hipaa_benchmark,rrf_lexical,57,5
0.0,0.0,0.0,0.0,7,hipaa_benchmark,tfidf,58,1
0.0,0.0,0.0,0.0,10,hipaa_benchmark,bm25,58,1
0.0,0.0,0.0,0.0,8,hipaa_benchmark,lsi,58,1
0.0,0.0,0.0,0.0,6,hipaa_benchmark,semantic,58,1
0.0,0.0,0.0,0.0,15,hipaa_benchmark,reranker,58,1
0.0,0.0,0.0,0.0,8,hipaa_benchmark,rrf_lexical,58,1
0.0,0.0,0.0,0.0,21,hipaa_benchmark,tfidf,59,1
0.0,0.0,0.0,0.0,18,hipaa_benchmark,bm25,59,1
0.0,0.0,0.0,0.0,20,hipaa_benchmark,lsi,59,1
0.0,0.0,0.0,0.0,19,hipaa_benchmark,semantic,59,1
1.0,1.0,1.0,0.2,1,hipaa_benchmark,reranker,59,1
0.0,0.0,0.0,0.0,19,hipaa_benchmark,rrf_lexical,59,1
0.0,0.0,0.0,0.0,14,hipaa_benchmark,tfidf,60,1
0.0,0.0,0.0,0.0,16,hipaa_benchmark,bm25,60,1
